region,name,loc,genre,star,difficulty,type,activeness,avail_people_lists[1],avail_people_lists[2],avail_people_lists[3],avail_people_lists[4],,,type,
강남,소서러,미스터리 룸 이스케이프 강남점,판타지,2.6,3,3,1,2 people,3 people,,,,,,
강남,나비효과 2,이룸에이트,추리,2.9,3,1,1,2 people,3 people,,,,,,
강남,Z,비밀의화원 리버타운점,SF,3.7,3,2,3,2 people,3 people,4 people,,,,,
강남,젠틀맨 뱅크,시그널헌터 가로수길점,범죄,2.7,3,1,3,2 people,3 people,,,,,,
강남,유전,도어 이스케이프 레드 신논현점,?,4.1,5,1,1,3 people,4 people,,,,,,
강남,Catch me if you can,이스케이프 샾,야외,2.4,3,3,3,2 people,3 people,,,,,,
강남,히로인,마스터키 강남점,스릴러,3.5,3,1,2,2 people,3 people,,,,,,
강남,마음을 그려드립니다,비트포비아 강남던전,드라마,3.9,3,2,3,2 people,3 people,,,,,,
강남,출동,도어 이스케이프 강남 가든점,감성,3.9,3,2,2,2 people,3 people,,,,,,
강남,흐린날,넥스트에디션 강남점,드라마,3.2,3,1,2,2 people,3 people,,,,,,
강남,LOST KINGDOM : 잊혀진 전설,비트포비아 강남던전,모험,3.7,3,2,3,2 people,3 people,,,,,,
강남,심판,넥스트에디션 강남2호점,드라마,3.2,3,2,2,2 people,3 people,,,,,,
강남,BACK화점,황금열쇠 강남점(플라워로드),범죄,4.4,4,2,1,2 people,3 people,4 people,,,,,
강남,인터프리터,플레이더월드 강남점,드라마,3.3,1,2,1,2 people,3 people,,,,,,
강남,왕자님이 찾으십니다,룸즈에이 강남점,판타지,3.7,4,2,1,2 people,3 people,4 people,,,,,
강남,EP4 : 주인 없는 낡은 서점,포인트나인 강남1호점,?,4.2,4,1,3,2 people,3 people,4 people,,,,,
강남,귀문기담,에피소드 방탈출 강남점,공포,3.9,3,2,1,2 people,3 people,4 people,,,,,
강남,브로커 나씨,비밀의화원 리버타운점,?,3.5,3,3,1,2 people,3 people,,,,,,
강남,룸 401,세븐클루스 강남1호점,스릴러,2.3,2,1,1,2 people,3 people,,,,,,
